sent_no,parag_no,sent_raw,char_len,token_len,sent_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob,bertsst
3673,706,She liked to sit on his knee when he came in from work.,55,13,she liked to sit on his knee when he came in from work,2.2600356148213634,0.9986278414726257,0.9932309985160828,Positive,0.95,0.95
3674,706,I was a tiny bit jealous.,25,6,i was a tiny bit jealous,2.2733831129245807,-0.9901195168495178,0.9973811507225037,Negative,0.85,-0.85
3675,707,"""I brought her back to my place, which you will see soon.",57,12,i brought her back to my place which you will see soon,4.259070252531229,0.9933485984802246,0.9954302906990051,Positive,0.96,0.96
3676,707,"Just outside the cathedral close, tall, thin, early Victorian, untidy, dark, piles of books.",92,14,just outside the cathedral close tall thin early victorian untidy dark piles of books,4.276490939685584,-0.9899966716766357,-0.999377965927124,Negative,0.94,-0.94
3677,707,My father was always loving but he spent most of his time in his study and did not like to be disturbed.,104,22,my father was always loving but he spent most of his time in his study and did not like to be disturbed,2.3111371439483124,0.9934431910514832,-0.9970707297325134,Negative,0.51,-0.51
3678,707,A local lady came in to cook my tea.,36,9,a local lady came in to cook my tea,4.238333525493711,0.9953405261039734,0.989619255065918,Positive,0.78,0.78
3679,707,"So we were on our own, and we liked that.",41,10,so we were on our own and we liked that,3.216229263626666,0.9986104965209961,0.9927140474319458,Positive,0.98,0.98
3680,707,"We made a den in an attic room, we had adventures in our overgrown garden.",74,15,we made a den in an attic room we had adventures in our overgrown garden,4.250294604943783,0.9987130165100098,-0.9899976849555969,Positive,0.66,0.66
3681,707,We watched TV together.,23,4,we watched tv together,4.252974655318248,0.998858630657196,0.996454656124115,Positive,0.93,0.93
3682,707,"A couple of years later, we clung to each other in the first bewildering days of secondary school.",98,18,a couple of years later we clung to each other in the first bewildering days of secondary school,4.213530777566273,0.9985262751579285,-0.9968165755271912,Positive,0.93,0.93
3683,707,We did our homework together.,29,5,we did our homework together,3.2171332592692337,0.9987595677375793,0.9925758242607117,Positive,0.94,0.94
3684,707,She was far better at maths and good at explaining problems.,60,11,she was far better at maths and good at explaining problems,2.306439580158335,0.9987452626228333,-0.9963556528091431,Positive,0.71,0.71
3685,707,I helped her with her written English.,38,7,i helped her with her written english,4.220908597688116,0.9975805282592773,0.9986579418182373,Positive,0.97,0.97
3686,707,She was hopeless at spelling.,29,5,she was hopeless at spelling,0.23486948136209493,-0.9994958639144897,0.9896401762962341,Negative,0.99,-0.99
3687,707,"As time passed and we became more self-conscious, we spent hours talking about our families.",92,15,as time passed and we became more selfconscious we spent hours talking about our families,4.240858289566451,0.9969378709793091,-0.9959030151367188,Positive,0.8,0.8
3688,707,We had our first periods within a few weeks of each other.,58,12,we had our first periods within a few weeks of each other,3.1904448258650233,0.9952892065048218,0.9971591830253601,Positive,0.75,0.75
3689,707,Her mother was really sensible and helpful with that.,53,9,her mother was really sensible and helpful with that,3.2141615951830635,0.9987838268280029,-0.9898257851600647,Positive,0.99,0.99
3690,707,"We also talked about boys, although we did not go near them.",60,12,we also talked about boys although we did not go near them,2.28325903363972,-0.9941139817237854,-0.9932137131690979,Positive,0.6,0.6
3691,707,"Because of her brothers, she was less bothered, more sceptical about boys than I was.",85,15,because of her brothers she was less bothered more sceptical about boys than i was,1.286327367485775,-0.9960289001464844,-0.993431568145752,Negative,0.71,-0.71
3692,708,"""The years passed, our friendship continued and became just a fact of life.",75,13,the years passed our friendship continued and became just a fact of life,4.2740142266021,0.9987967610359192,-0.9839545488357544,Negative,0.57,-0.57
3693,708,Our last summer at school came around.,38,7,our last summer at school came around,4.268425710486161,0.9960246086120605,0.9956262111663818,Positive,0.9,0.9
3694,708,We sat our public exams and thought about university.,53,9,we sat our public exams and thought about university,4.254385020891157,0.9982843399047852,0.9970566630363464,Positive,0.9,0.9
3695,708,"She wanted to do science, I was interested in history.",54,10,she wanted to do science i was interested in history,2.304453488659094,0.9959327578544617,-0.9922558069229126,Positive,0.91,0.91
3696,708,"We were worried that we would end up in different places.""",58,11,we were worried that we would end up in different places,2.2765603818877382,-0.9904874563217163,0.9876049757003784,Negative,0.64,-0.64
3697,709,Miranda stopped.,16,2,miranda stopped,0.28711913216579354,-0.9983084797859192,0.9972279071807861,Negative,0.91,-0.91
3698,709,She took a long slow breath.,28,6,she took a long slow breath,1.261763709957516,-0.9938061833381653,0.9920598864555359,Negative,0.56,-0.56
3699,709,"As she resumed, she reached for my hand.",40,8,as she resumed she reached for my hand,0.22262197054059762,0.9952623248100281,-0.9982994794845581,Positive,0.86,0.86
3700,710,"""One Saturday afternoon I got a call from her.",46,9,one saturday afternoon i got a call from her,0.35651097248466945,0.9976903796195984,0.982724130153656,Positive,0.75,0.75
3701,710,She was in a very bad state.,28,7,she was in a very bad state,0.25961304170441163,-0.9990103244781494,0.9949843883514404,Negative,0.99,-0.99
3702,710,At first I could not make out what she was saying.,50,11,at first i could not make out what she was saying,1.2640746884240874,-0.999480664730072,0.9981013536453247,Negative,0.93,-0.93
3703,710,She wanted to meet me in a local park.,38,9,she wanted to meet me in a local park,2.291924929392089,0.9984135031700134,0.9975786209106445,Positive,0.85,0.85
3704,710,"When I got to her, she could not speak.",39,9,when i got to her she could not speak,0.2425267639682488,-0.9994871020317078,-0.9949431419372559,Negative,0.87,-0.87
3705,710,"We walked around the park, arm in arm, and all I could do was wait.",67,15,we walked around the park arm in arm and all i could do was wait,4.169179181319387,0.998447835445404,0.9801990389823914,Negative,0.57,-0.57
3706,710,At last she told me what had happened the day before.,53,11,at last she told me what had happened the day before,3.224411772919916,-0.9926304221153259,0.996249794960022,Positive,0.84,0.84
3707,710,Her route home from school took her by some playing fields.,59,11,her route home from school took her by some playing fields,2.250685449815429,0.9969111084938049,0.9986783266067505,Positive,0.51,0.51
3708,710,It was dusk and she was hurrying because her parents did not like her out alone after dark.,91,18,it was dusk and she was hurrying because her parents did not like her out alone after dark,2.255009286317898,-0.9744186997413635,0.9778350591659546,Negative,0.95,-0.95
3709,710,She became aware of a figure following her.,43,8,she became aware of a figure following her,2.311746056137273,0.9476181268692017,0.9873170852661133,Positive,0.91,0.91
3710,710,It seemed to be getting closer each time she turned to look.,60,12,it seemed to be getting closer each time she turned to look,1.2389865225378414,0.9976519346237183,0.9843440651893616,Negative,0.56,-0.56
3711,710,She thought of breaking into a run--she was fast--then decided she was being silly.,83,14,she thought of breaking into a runshe was fastthen decided she was being silly,1.2359713614284074,-0.9993183612823486,0.997857391834259,Negative,0.95,-0.95
3712,710,And she had a satchel full of books.,36,8,and she had a satchel full of books,0.15101019976596317,0.9971989393234253,0.9896998405456543,Positive,0.79,0.79
3713,710,The person following her was getting closer.,44,7,the person following her was getting closer,2.2929233387500925,0.9954907298088074,0.9970447421073914,Negative,0.52,-0.52
3714,710,She turned to confront him and was relieved to see it was someone she vaguely knew--Peter Gorringe.,99,17,she turned to confront him and was relieved to see it was someone she vaguely knewpeter gorringe,2.2759799859758774,0.9935846924781799,0.9981046915054321,Positive,0.89,0.89
3715,710,"He was not exactly popular, but he was known at school as the only boy who had his own place.",93,20,he was not exactly popular but he was known at school as the only boy who had his own place,2.305434780236981,0.9916709065437317,-0.9980183839797974,Negative,0.72,-0.72
3716,710,His parents were abroad and had rented a small bedsit for him for a few months rather than trust him to look after the house.,125,25,his parents were abroad and had rented a small bedsit for him for a few months rather than trust him to look after the house,3.257620046165153,-0.9966685175895691,0.9941625595092773,Negative,0.97,-0.97
3717,710,"Before she could speak to him he ran at her, took hold of her wrist and dragged her behind a brick she would where they keep the mowers.",136,28,before she could speak to him he ran at her took hold of her wrist and dragged her behind a brick she would where they keep the mowers,0.3070726105961166,-0.999081552028656,0.9888181090354919,Negative,0.89,-0.89
3718,710,She screamed but no one came.,29,6,she screamed but no one came,0.2936016627280053,-0.999459445476532,0.9933462142944336,Negative,0.94,-0.94
3719,710,"He was large, she was very slight.",34,7,he was large she was very slight,1.2447719292958612,-0.9802609086036682,-0.9981583952903748,Negative,0.63,-0.63
3720,710,He wrestled her to the ground and that was where he raped her.,62,13,he wrestled her to the ground and that was where he raped her,0.2903227406264684,-0.9972559809684753,-0.987658679485321,Negative,0.95,-0.95
3721,711,"""Mariam and I stood in the park, in the middle of this big lawn surrounded by flower beds, and hugged and cried together.",121,23,mariam and i stood in the park in the middle of this big lawn surrounded by flower beds and hugged and cried together,4.401132306421795,0.9987041354179382,0.9913884401321411,Positive,0.99,0.99
3722,711,"Even then, as I was trying to take in this horrific news, I thought that one day everything would be all right.",111,22,even then as i was trying to take in this horrific news i thought that one day everything would be all right,0.32182608276946323,-0.9948565363883972,-0.9992417693138123,Positive,0.83,0.83
3723,711,She would get through this.,27,5,she would get through this,2.230892853508296,0.9868501424789429,0.9924622774124146,Positive,0.88,0.88
3724,711,"Everyone loved and respected her, everyone would be outraged.",61,9,everyone loved and respected her everyone would be outraged,4.305744945166513,-0.9912045001983643,0.9953122138977051,Negative,0.52,-0.52
3725,711,Her attacker would go to prison.,32,6,her attacker would go to prison,0.22184171769265887,-0.9867079854011536,-0.9952932596206665,Negative,0.97,-0.97
3726,711,I would go to whatever university she chose and stay close to her.,66,13,i would go to whatever university she chose and stay close to her,2.2776329988015775,0.9986727237701416,0.9896562099456787,Positive,0.98,0.98
3727,712,"""When she recovered enough, she showed me the marks on her legs and thighs, and on each wrist, a row of four little bruises from his grip when he would held her down.",166,33,when she recovered enough she showed me the marks on her legs and thighs and on each wrist a row of four little bruises from his grip when he would held her down,1.2534966230120075,-0.9889519810676575,-0.9978383779525757,Positive,0.58,0.58
3728,712,"She told me how she got home that night, told her father she had a heavy cold and went straight to bed.",103,22,she told me how she got home that night told her father she had a heavy cold and went straight to bed,4.246380609321763,0.9953096508979797,0.9973137974739075,Negative,0.93,-0.93
3729,712,"It was lucky, the way she saw it, that her mother was out that evening.",71,15,it was lucky the way she saw it that her mother was out that evening,3.1916468667250806,-0.9726155400276184,0.9910210371017456,Positive,0.93,0.93
3730,712,She would have known immediately that something was wrong.,58,9,she would have known immediately that something was wrong,1.21919946276679,-0.998016357421875,0.9982954859733582,Negative,0.97,-0.97
3731,712,That was when I began to understand that she had not told her parents.,70,14,that was when i began to understand that she had not told her parents,1.2369571523352096,-0.9979482889175415,0.9841687679290771,Negative,0.77,-0.77
3732,712,We started walking round the park again.,40,7,we started walking round the park again,4.255326528117847,0.9988284111022949,-0.9882020354270935,Positive,0.79,0.79
3733,712,I told her she must tell them.,30,7,i told her she must tell them,4.2751290390191725,0.9933168888092041,0.9600540399551392,Positive,0.56,0.56
3734,712,She needed all the help and support she could get.,50,10,she needed all the help and support she could get,4.234085898546594,0.9984960556030273,-0.9921607375144958,Negative,0.87,-0.87
3735,712,"If she had not been to the police yet, I would come with her.",61,14,if she had not been to the police yet i would come with her,2.3246219738487377,-0.9993500709533691,-0.9981037378311157,Positive,0.64,0.64
3736,712,Now!,4,1,now,4.3288455588191965,0.9923404455184937,0.9940477609634399,Positive,0.93,0.93
3737,712,"""I would never seen Mariam so fierce.",37,7,i would never seen mariam so fierce,1.2496265182631168,0.9980344772338867,0.9901167154312134,Positive,0.96,0.96
3738,712,She seized my hands and told me that I understood nothing.,58,11,she seized my hands and told me that i understood nothing,0.32149336389665073,-0.999498724937439,0.9743548631668091,Negative,0.96,-0.96
3739,712,"Her parents were never to know, nor were the police.",52,10,her parents were never to know nor were the police,1.2038246716634142,-0.9971956014633179,0.9923705458641052,Negative,0.92,-0.92
3740,712,I said we should go together and tell her doctor.,49,10,i said we should go together and tell her doctor,3.160517521806736,-0.9939174056053162,-0.9775163531303406,Negative,0.78,-0.78
3741,712,"When she heard that, she shouted at me.",39,8,when she heard that she shouted at me,0.3075702401205904,-0.9994779229164124,-0.9988557696342468,Negative,0.73,-0.73
3742,712,The doctor would go straight to her mother.,43,8,the doctor would go straight to her mother,2.2817927180782904,0.9954016208648682,-0.9970718622207642,Negative,0.81,-0.81
3743,712,He was a family friend.,23,5,he was a family friend,3.2364343823636124,0.9978355765342712,0.991325855255127,Positive,0.99,0.99
3744,712,Her uncles would hear about it.,31,6,her uncles would hear about it,3.247068534059219,0.9971616268157959,-0.9919506907463074,Positive,0.87,0.87
3745,712,Her brothers would do something stupid and get themselves in serious trouble.,77,12,her brothers would do something stupid and get themselves in serious trouble,1.237711056760973,-0.9982526302337646,-0.9941375255584717,Negative,0.99,-0.99
3746,712,Her family would be humiliated.,31,5,her family would be humiliated,2.255088546528912,-0.9994050860404968,-0.9986326098442078,Negative,0.99,-0.99
3747,712,Her father would be destroyed if he learned what had happened.,62,11,her father would be destroyed if he learned what had happened,2.2834277976911004,-0.997053325176239,0.9975053071975708,Negative,0.97,-0.97
3748,712,If I was her friend I had to help her in the way she needed to be helped.,73,18,if i was her friend i had to help her in the way she needed to be helped,2.3164104916211112,0.9978830814361572,0.994116485118866,Positive,0.53,0.53
3749,712,She wanted me to promise to keep her secret.,44,9,she wanted me to promise to keep her secret,4.189615414251651,0.9920513033866882,0.9973964095115662,Positive,0.79,0.79
3750,712,I resisted but she came back at me.,35,8,i resisted but she came back at me,1.2351053660031939,-0.9993477463722229,0.995883047580719,Positive,0.7,0.7
3751,712,She was furious.,16,3,she was furious,0.34598325197526697,-0.9978867769241333,-0.9940630793571472,Negative,0.96,-0.96
3752,712,She kept telling me that I understood nothing.,46,8,she kept telling me that i understood nothing,1.226528922940212,-0.999494731426239,-0.9969357848167419,Negative,0.98,-0.98
3753,712,"The police, the doctor, the school, her family, my father--no one was to know.",78,14,the police the doctor the school her family my fatherno one was to know,4.25582825511687,-0.9961380362510681,-0.9968073964118958,Negative,0.9,-0.9
3754,712,I was not to confront Gorringe.,31,6,i was not to confront gorringe,1.2134125696691693,-0.9974881410598755,-0.9986994862556458,Negative,0.83,-0.83
3755,712,"If I did, it would all come out.",32,8,if i did it would all come out,1.2105020295985582,-0.9979612827301025,0.9899753332138062,Negative,0.53,-0.53
3756,713,"""And so, in the end, I did what I knew to be wrong.",51,13,and so in the end i did what i knew to be wrong,2.2529168626511935,-0.9972141981124878,-0.9972230195999146,Negative,0.77,-0.77
3757,713,"Since we did not have one with me, I swore on 'the idea' of the Bible to keep Mariam's secret, and on the Koran too, and on our friendship and on my father's life.",163,34,since we did not have one with me i swore on the idea of the bible to keep mariams secret and on the koran too and on our friendship and on my fathers life,4.2238130245659535,0.995837926864624,-0.9991785287857056,Positive,0.68,0.68
3758,713,"I did as she asked, even though I was convinced that her family would have gathered round her and supported her.",112,21,i did as she asked even though i was convinced that her family would have gathered round her and supported her,3.2493008210667753,-0.9810503721237183,-0.9981642365455627,Positive,0.87,0.87
3759,713,And I still believe it.,23,5,and i still believe it,4.276408110909818,0.9983681440353394,-0.9694650769233704,Positive,0.98,0.98
3760,713,More than that.,15,3,more than that,0.2675236437154889,0.9973776936531067,0.9929095506668091,Positive,0.91,0.91
3761,713,I know it for a fact.,21,6,i know it for a fact,3.1869379488163565,0.9868764281272888,-0.9740297198295593,Positive,0.93,0.93
3762,713,They loved her and would never have cast her out or enacted whatever mad idea she had of family honour.,103,20,they loved her and would never have cast her out or enacted whatever mad idea she had of family honour,4.31458250121584,0.9974493384361267,-0.9942500591278076,Positive,0.76,0.76
3763,713,They would have put their arms round her and protected her.,59,11,they would have put their arms round her and protected her,1.2558311351723102,0.9975144267082214,0.9972862601280212,Positive,0.7,0.7
3764,713,Her ideas were all wrong.,25,5,her ideas were all wrong,0.26976075406385297,-0.9995007514953613,0.9903555512428284,Negative,0.99,-0.99
3765,713,"And I was worse, I was criminally stupid, going along with this and entering into her secret pact.",98,18,and i was worse i was criminally stupid going along with this and entering into her secret pact,0.3442963756114523,-0.9994364976882935,-0.9986615777015686,Negative,0.99,-0.99
3766,714,"""For the next two weeks we saw each other every day.",52,11,for the next two weeks we saw each other every day,1.1819063244605172,0.9987582564353943,-0.9857746958732605,Positive,0.97,0.97
3767,714,We talked of nothing else.,26,5,we talked of nothing else,0.32059505259378746,-0.9984484910964966,-0.9973153471946716,Negative,0.75,-0.75
3768,714,For a part of that time I tried to change her mind.,51,12,for a part of that time i tried to change her mind,2.298649203419714,-0.9929196238517761,-0.9954836368560791,Negative,0.9,-0.9
3769,714,Not a chance.,13,3,not a chance,0.2345535090680037,-0.9986968636512756,0.9957894682884216,Negative,0.95,-0.95
3770,714,"She seemed calmer, even more determined, and I began to think that perhaps she was right.",89,16,she seemed calmer even more determined and i began to think that perhaps she was right,2.296238588329555,0.9976314902305603,-0.9990538358688354,Positive,0.76,0.76
3771,714,It was certainly convenient to think so.,40,7,it was certainly convenient to think so,3.248342712979402,-0.9874752759933472,-0.9904878735542297,Positive,0.76,0.76
3772,714,"Keep silent, avoid a family trauma, avoid giving evidence to the police, avoid a terrifying court case.",103,17,keep silent avoid a family trauma avoid giving evidence to the police avoid a terrifying court case,0.40399132960493067,-0.998425304889679,-0.9988887906074524,Negative,0.69,-0.69
3773,714,Stay calm and think about the future.,37,7,stay calm and think about the future,4.244069241308866,0.9987362623214722,0.8408982753753662,Positive,0.98,0.98
3774,714,We were on the edge of becoming adults.,39,8,we were on the edge of becoming adults,2.217488207465248,0.9957567453384399,-0.9915403723716736,Positive,0.91,0.91
3775,714,Our lives were about to change.,31,6,our lives were about to change,3.17769970608304,0.99805748462677,-0.9914700984954834,Positive,0.98,0.98
3776,714,This was a catastrophe but she would survive it with my help.,61,12,this was a catastrophe but she would survive it with my help,0.2875826098684959,-0.9921302199363708,-0.9950682520866394,Positive,0.87,0.87
3777,714,Whenever I saw Gorringe at school I stayed clear of him.,56,11,whenever i saw gorringe at school i stayed clear of him,3.2221006841121205,-0.9994723200798035,-0.966585099697113,Negative,0.6,-0.6
3778,714,That was getting easier as the term ran down and we school-leavers began to disperse forever.,93,16,that was getting easier as the term ran down and we schoolleavers began to disperse forever,1.2579024371019265,-0.992519199848175,-0.9313305616378784,Negative,0.96,-0.96
3779,715,"""At the beginning of the holidays my father took me to France to stay with friends who had a farmhouse in the Dordogne.",119,23,at the beginning of the holidays my father took me to france to stay with friends who had a farmhouse in the dordogne,3.2313463737971526,0.9981707334518433,-0.9956076741218567,Positive,0.89,0.89
3780,715,"Before I left, Mariam begged me not to phone her home.",54,11,before i left mariam begged me not to phone her home,0.2732502819636428,-0.9985020756721497,-0.9982585310935974,Negative,0.88,-0.88
3781,715,"I think she was afraid that if by chance I started speaking to her mother, I would forget my promise and tell her everything.",125,24,i think she was afraid that if by chance i started speaking to her mother i would forget my promise and tell her everything,2.2372916081119425,-0.9981247186660767,-0.9976972937583923,Negative,0.97,-0.97
3782,715,"By then, lots of people had mobile phones, but they had not quite reached us.",77,15,by then lots of people had mobile phones but they had not quite reached us,2.2813706145998647,-0.9892731308937073,-0.9885845184326172,Negative,0.98,-0.98
3783,715,So we wrote letters and postcards every day.,44,8,so we wrote letters and postcards every day,2.3043076619488776,0.998335599899292,0.995873212814331,Positive,0.84,0.84
3784,715,I remember being disappointed by hers.,38,6,i remember being disappointed by hers,2.2479666573199166,-0.9994728565216064,0.992814838886261,Negative,0.98,-0.98
3785,715,They were not exactly distant so much as dull.,46,9,they were not exactly distant so much as dull,1.2396821352714213,-0.9981857538223267,0.9913725852966309,Negative,0.95,-0.95
3786,715,There was only one subject and she could not write about it.,60,12,there was only one subject and she could not write about it,0.263364937447964,-0.9994956254959106,-0.9974889755249023,Negative,0.98,-0.98
3787,715,So she wrote about the weather and TV programmes and said nothing about her state of mind.,90,17,so she wrote about the weather and tv programmes and said nothing about her state of mind,2.265317697960946,-0.9995040893554688,-0.995180070400238,Negative,0.97,-0.97
3788,715,"""I was away two weeks and during the last five days nothing came from her.",74,15,i was away two weeks and during the last five days nothing came from her,0.2872426600728035,-0.999502420425415,0.9715961813926697,Negative,0.97,-0.97
3789,715,As soon as we were home I went round to her house.,50,12,as soon as we were home i went round to her house,4.196854291252088,0.9984684586524963,-0.9953303933143616,Positive,0.71,0.71
3790,715,As I approached I saw that the front door was open.,51,11,as i approached i saw that the front door was open,1.2047250582613025,-0.992318868637085,-0.9971168637275696,Positive,0.66,0.66
3791,715,Her older brother Hamid was standing by it.,43,8,her older brother hamid was standing by it,3.2343536472492582,0.994186282157898,0.861569881439209,Positive,0.9,0.9
3792,715,"A couple of neighbours went in, someone came out.",49,9,a couple of neighbours went in someone came out,1.2100211031950534,-0.9902200698852539,-0.998979926109314,Negative,0.83,-0.83
3793,715,I was filled with dread as I went up to him.,44,11,i was filled with dread as i went up to him,0.28517207434554603,-0.9991128444671631,0.9799965620040894,Negative,0.55,-0.55
3794,715,"He looked ill, very thin, and for a moment he seemed not to recognise me.",73,15,he looked ill very thin and for a moment he seemed not to recognise me,1.2301439919016568,-0.9993329048156738,-0.9993578791618347,Negative,0.99,-0.99
3795,715,Then he told me.,16,4,then he told me,0.206866196782661,-0.98604816198349,0.993888795375824,Positive,0.8,0.8
3796,715,She had slit her wrists in the bath.,36,8,she had slit her wrists in the bath,1.2252659409580335,-0.9971323013305664,-0.9929834008216858,Negative,0.95,-0.95
3797,715,The funeral had already happened two days before.,49,8,the funeral had already happened two days before,2.176499563883643,-0.9926604628562927,0.9933058619499207,Negative,0.91,-0.91
3798,715,I took a couple of steps back from him.,39,9,i took a couple of steps back from him,1.230191027744666,-0.9993240237236023,0.9945648908615112,Negative,0.77,-0.77
3799,715,"I was too numb for grief, but not too numb for guilt.",53,12,i was too numb for grief but not too numb for guilt,2.325347888051099,-0.9955836534500122,-0.9967595934867859,Negative,0.93,-0.93
3800,715,Mariam was dead because I would kept her secret and denied her the help she needed.,83,16,mariam was dead because i would kept her secret and denied her the help she needed,0.2521148421790919,-0.9968768954277039,-0.9991965293884277,Negative,0.98,-0.98
3801,715,I wanted to run away but Hamid made me go into the house and speak to his mother.,81,18,i wanted to run away but hamid made me go into the house and speak to his mother,3.1867552571816704,-0.9965105056762695,-0.9962181448936462,Negative,0.57,-0.57
3802,716,"""In my memory I moved through a crowd to get to the kitchen.",60,13,in my memory i moved through a crowd to get to the kitchen,4.3234190731142474,0.9953253865242004,0.9493521451950073,Positive,0.77,0.77
3803,716,But the house was small.,24,5,but the house was small,2.3160103550648063,-0.9895129799842834,-0.9960600733757019,Negative,0.94,-0.94
3804,716,There must have been no more than a dozen visitors.,51,10,there must have been no more than a dozen visitors,0.2814815237668524,-0.9988176822662354,-0.9942654371261597,Negative,0.96,-0.96
3805,716,Sana was sitting on a wooden chair with her back to the wall.,61,13,sana was sitting on a wooden chair with her back to the wall,2.210425138593482,-0.9886831045150757,0.9856317043304443,Negative,0.87,-0.87
3806,716,"There were people around her but no one was talking, and her face--I will never escape that face.",97,18,there were people around her but no one was talking and her facei will never escape that face,0.2569767277276189,-0.9991451501846313,-0.9975832104682922,Negative,0.52,-0.52
3807,716,"Stricken, frozen in pain.",25,4,stricken frozen in pain,0.3121637637999302,-0.9986898899078369,-0.9985546469688416,Negative,0.96,-0.96
3808,716,"As soon as she saw me, she stretched out her arms towards me and I stooped over her and we embraced.",100,21,as soon as she saw me she stretched out her arms towards me and i stooped over her and we embraced,4.376859149318374,0.9988178014755249,-0.9994615912437439,Positive,0.98,0.98
3809,716,Her entire body was hot and clammy and trembling.,49,9,her entire body was hot and clammy and trembling,0.24607997125597705,-0.9940119981765747,0.9980232119560242,Negative,0.75,-0.75
3810,716,I was not crying.,17,4,i was not crying,0.2741238321134161,-0.9943626523017883,0.9985487461090088,Positive,0.76,0.76
3811,716,Not yet.,8,2,not yet,0.23061042211481614,-0.9835137724876404,0.9868059158325195,Negative,0.88,-0.88
3812,716,"Then, while her arms were around my neck, she asked me in a whisper, she actually asked me to be honest with her.",113,23,then while her arms were around my neck she asked me in a whisper she actually asked me to be honest with her,1.2748958962175143,0.9935937523841858,-0.9987072944641113,Positive,0.54,0.54
3813,716,"Was there something she should know about Mariam, was there something, anything I could tell her that would make sense of this?",127,22,was there something she should know about mariam was there something anything i could tell her that would make sense of this,2.2762070659071707,-0.999147891998291,-0.9964155554771423,Negative,0.96,-0.96
3814,716,I could not speak but I lied with a shake of my head.,53,13,i could not speak but i lied with a shake of my head,0.25808828223829433,-0.9989714622497559,0.9972344636917114,Negative,0.86,-0.86
3815,716,I was truly scared.,19,4,i was truly scared,4.364052547868438,-0.9967082142829895,0.9988030791282654,Negative,0.93,-0.93
3816,716,I could not even begin to grasp the enormity of my crime.,57,12,i could not even begin to grasp the enormity of my crime,0.2662531594107926,-0.9977760910987854,-0.9977633357048035,Negative,0.98,-0.98
3817,716,Now I was adding to it by condemning my lovely surrogate mother to a lifetime of anguish and ignorance.,103,19,now i was adding to it by condemning my lovely surrogate mother to a lifetime of anguish and ignorance,4.357338351263874,-0.9982699155807495,-0.9939844012260437,Negative,0.76,-0.76
3818,716,"I would killed her daughter with my silence, now I was crushing her with it.",76,15,i would killed her daughter with my silence now i was crushing her with it,1.1148631148334542,-0.9984983205795288,-0.9959449768066406,Negative,0.95,-0.95
3819,717,"""Would it have made her burden any easier to know that her daughter was raped?",78,15,would it have made her burden any easier to know that her daughter was raped,1.2486008515565903,-0.9963099360466003,0.9972941279411316,Negative,0.98,-0.98
3820,717,"I could hear the family crying out, If only we had known!",57,12,i could hear the family crying out if only we had known,3.1923644407910454,0.9920182228088379,-0.99653559923172,Negative,0.68,-0.68
3821,717,Then they would have turned on me.,34,7,then they would have turned on me,1.23792781805161,-0.9990167021751404,0.9942230582237244,Negative,0.84,-0.84
3822,717,Rightly.,8,1,rightly,4.296544562752956,0.9940553307533264,0.9868172407150269,Positive,0.98,0.98
3823,717,"There was and is no way round it, I bear responsibility for Mariam's death.",75,14,there was and is no way round it i bear responsibility for mariams death,4.290499532773691,-0.9981091022491455,0.9939910173416138,Negative,0.68,-0.68
3824,717,Seventeen years and nine months old.,36,6,seventeen years and nine months old,4.462762830290806,0.9941522479057312,-0.9935561418533325,Positive,0.88,0.88
3825,717,"I left Sana where she sat and hurried out of the house, avoiding the rest of the family.",88,18,i left sana where she sat and hurried out of the house avoiding the rest of the family,0.23002671033254268,-0.9985988140106201,-0.9972484111785889,Negative,0.97,-0.97
3826,717,I could not face them.,22,5,i could not face them,1.2178929565933179,-0.9994836449623108,0.988720178604126,Negative,0.97,-0.97
3827,717,Especially her father.,22,3,especially her father,4.267074476772629,0.9840327501296997,0.9954095482826233,Positive,0.94,0.94
3828,717,"And Mariam's darling, the little girl, Surayya I was so close to.",65,12,and mariams darling the little girl surayya i was so close to,4.311339193101785,0.9981729388237,0.9973475933074951,Positive,0.99,0.99
3829,717,I walked away from the house and I have never been back.,56,12,i walked away from the house and i have never been back,0.37124011101632637,-0.9993751645088196,0.9950319528579712,Negative,0.91,-0.91
3830,717,"Sana wrote to me a few days later, when Mariam's brilliant exam results came through.",85,15,sana wrote to me a few days later when mariams brilliant exam results came through,4.242379804334462,0.9986648559570312,-0.9886429905891418,Positive,0.92,0.92
3831,717,I did not reply.,16,4,i did not reply,0.267163879108939,-0.999476432800293,0.9986503720283508,Negative,0.94,-0.94
3832,717,To be involved with the family in any way would have been to add to my deceit.,78,17,to be involved with the family in any way would have been to add to my deceit,2.334130583594453,-0.9992706775665283,-0.9787665009498596,Negative,0.97,-0.97
3833,717,"How could I be with them and visit the grave, as she was suggesting, when my presence would be a constant lie?",110,22,how could i be with them and visit the grave as she was suggesting when my presence would be a constant lie,1.240135027398505,-0.9995017647743225,-0.9994890689849854,Negative,0.92,-0.92
3834,718,"""So I grieved alone for my friend.",34,7,so i grieved alone for my friend,1.2577176579913127,-0.9957380890846252,0.9966540932655334,Positive,0.77,0.77
3835,718,There was no one I dared speak to about her.,44,10,there was no one i dared speak to about her,0.27471102300240224,-0.9994103312492371,-0.9631404876708984,Negative,0.97,-0.97
3836,718,"you are the first person, Charlie, I have told this story to.",61,12,you are the first person charlie i have told this story to,4.32299918153956,0.9987136125564575,-0.9964241981506348,Positive,0.95,0.95
