,sent_no,sent_raw,syuzhet,bing,afinn,nrc,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
1191,1192,"Sometimes I fancied it must be the devil, and reason joined in with me in this supposition, for how should any other thing in human shape come into the place?",0.7,-1,0,2,-0.006334841628959736,-0.4434389140271493,-0.17647058823529413,0.11764705882352941,-0.12714932126696843,-1.192500401736879,-1.5681669309982802,-1.025620140376196,-1.1952077631643743
1192,1193,Where was the vessel that brought them?,0.0,0,0,0,-4.596624739963884e-16,-0.46153846153846156,-0.1493212669683258,0.11312217194570136,-0.12443438914027162,-1.1683167877591978,-1.6272585682355571,-0.9761309339851664,-1.2085783432850923
1193,1194,What marks were there of any other footstep?,0.0,0,0,0,-0.01244343891402761,-0.4796380090497738,-0.18552036199095023,0.09502262443438914,-0.14564479638009062,-1.215820315215357,-1.686350205472834,-1.042116542506539,-1.2620606637679634
1194,1195,And how was it possible a man should come there?,0.0,0,0,0,-0.027601809954751592,-0.502262443438914,-0.2081447963800905,0.06787330316742081,-0.16753393665158384,-1.273688248661951,-1.76021475201943,-1.0833575478323971,-1.3422841444922702
1195,1196,"But then, to think that Satan should take human shape upon him in such a place, where there could be no manner of occasion for it, but to leave the print of his foot behind him, and that even for no purpose too, for he could not be sure I should see itâ""this was an amusement the other way.",0.25,0,1,1,-0.03099547511312263,-0.5113122171945701,-0.21266968325791855,0.058823529411764705,-0.17403846153846164,-1.2866437561499944,-1.7897605706380681,-1.0916057488975686,-1.3690253047337058
1196,1197,"I considered that the devil might have found out abundance of other ways to have terrified me than this of the single print of a foot; that as I lived quite on the other side of the island, he would never have been so simple as to leave a mark in a place where it was ten thousand to one whether I should ever see it or not, and in the sand too, which the first surge of the sea, upon a high wind, would have defaced entirely.",-0.55,0,-4,0,-0.03144796380090544,-0.5248868778280543,-0.21266968325791855,0.058823529411764705,-0.1775452488687784,-1.2883711571484002,-1.8340792985660261,-1.0916057488975686,-1.3690253047337058
1197,1198,All this seemed inconsistent with the thing itself and with all the notions we usually entertain of the subtlety of the devil.,-0.8,-1,0,0,-0.042081447963801366,-0.5294117647058824,-0.23529411764705882,0.04524886877828054,-0.1903846153846155,-1.3289650806109363,-1.8488522078753453,-1.1328467542234266,-1.4091370450958591
1198,1199,"Abundance of such things as these assisted to argue me out of all apprehensions of its being the devil; and I presently concluded then that it must be some more dangerous creatureâ""viz.",-2.15,-2,-2,-4,-0.03552036199095069,-0.5339366515837104,-0.2398190045248869,0.058823529411764705,-0.1876131221719458,-1.3039177661340524,-1.8636251171846643,-1.1410949552885983,-1.3690253047337058
1199,1200,"that it must be some of the savages of the mainland opposite who had wandered out to sea in their canoes, and either driven by the currents or by contrary winds, had made the island, and had been on shore, but were gone away again to sea; being as loath, perhaps, to have stayed in this desolate island as I would have been to have had them.",-2.6,-3,0,-1,-0.04140271493212717,-0.5384615384615384,-0.24434389140271492,0.058823529411764705,-0.19134615384615397,-1.3263739791133278,-1.8783980264939835,-1.1493431563537697,-1.3690253047337058
1200,1201,"While these reflections were rolling in my mind, I was very thankful in my thoughts that I was so happy as not to be thereabouts at that time, or that they did not see my boat, by which they would have concluded that some inhabitants had been in the place, and perhaps have searched farther for me.",1.75,2,5,2,-0.051131221719457484,-0.5475113122171946,-0.23076923076923078,0.04524886877828054,-0.19604072398190062,-1.3635131005790524,-1.9079438451126223,-1.124598553158255,-1.4091370450958591
1201,1202,"Then terrible thoughts racked my imagination about their having found out my boat, and that there were people here; and that, if so, I should certainly have them come again in greater numbers and devour me; that if it should happen that they should not find me, yet they would find my enclosure, destroy all my corn, and carry away all my flock of tame goats, and I should perish at last for mere want.",-1.05,-3,-2,0,-0.05067873303167468,-0.5520361990950227,-0.22171945701357465,0.04524886877828054,-0.19479638009049788,-1.3617856995806465,-1.9227167544219415,-1.1081021510279117,-1.4091370450958591
1202,1203,"Thus my fear banished all my religious hope, all that former confidence in God, which was founded upon such wonderful experience as I had had of His goodness; as if He that had fed me by miracle hitherto could not preserve, by His power, the provision which He had made for me by His goodness.",2.6,3,14,4,-0.048190045248869245,-0.5520361990950227,-0.2081447963800905,0.05429864253393665,-0.18851809954751145,-1.3522849940894146,-1.9227167544219415,-1.0833575478323971,-1.3823958848544233
1203,1204,"I reproached myself with my laziness, that would not sow any more corn one year than would just serve me till the next season, as if no accident could intervene to prevent my enjoying the crop that was upon the ground; and this I thought so just a reproof, that I resolved for the future to have two or three yearsâ corn beforehand; so that, whatever might come, I might not perish for want of bread.",-0.9,0,1,-2,-0.061538461538462,-0.5701357466063348,-0.22624434389140272,0.03167420814479638,-0.20656108597285078,-1.4032433235423853,-1.981808391659218,-1.1163503520930833,-1.4492487854580125
1204,1205,How strange a chequer-work of Providence is the life of man!,0.1,1,-1,0,-0.056561085972851144,-0.5701357466063348,-0.19909502262443438,0.027149321266968326,-0.199660633484163,-1.3842419125599217,-1.981808391659218,-1.0668611457020538,-1.4626193655787303
1205,1206,"and by what secret different springs are the affections hurried about, as different circumstances present!",0.0,0,0,0,-0.049773755656109066,-0.5610859728506787,-0.19004524886877827,0.027149321266968326,-0.19343891402714944,-1.3583308975838349,-1.9522625730405798,-1.0503647435717107,-1.4626193655787303
1206,1207,"To-day we love what to-morrow we hate; to-day we seek what to-morrow we shun; to-day we desire what to-morrow we fear, nay, even tremble at the apprehensions of.",-1.65,-3,-1,-3,-0.03891402714932173,-0.5565610859728507,-0.167420814479638,0.03619909502262444,-0.18167420814479648,-1.3168732736220958,-1.9374896637312606,-1.0091237382458527,-1.4358782053372947
1207,1208,"This was exemplified in me, at this time, in the most lively manner imaginable; for I, whose only affliction was that I seemed banished from human society, that I was alone, circumscribed by the boundless ocean, cut off from mankind, and condemned to what I call silent life; that I was as one whom Heaven thought not worthy to be numbered among the living, or to appear among the rest of His creatures; that to have seen one of my own species would have seemed to me a raising me from death to life, and the greatest blessing that Heaven itself, next to the supreme blessing of salvation, could bestow; I say, that I should now tremble at the very apprehensions of seeing a man, and was ready to sink into the ground at but the shadow or silent appearance of a man having set his foot in the island.",1.55,4,11,2,-0.011764705882353406,-0.5248868778280543,-0.13122171945701358,0.06787330316742081,-0.15000000000000013,-1.2132292137177483,-1.8340792985660261,-0.94313812972448,-1.3422841444922702
1208,1209,"Such is the uneven state of human life; and it afforded me a great many curious speculations afterwards, when I had a little recovered my first surprise.",1.0,0,4,0,-0.01628959276018146,-0.5294117647058824,-0.12669683257918551,0.058823529411764705,-0.15339366515837116,-1.2305032237018063,-1.8488522078753453,-0.9348899286593084,-1.3690253047337058
1209,1210,"I considered that this was the station of life the infinitely wise and good providence of God had determined for me; that as I could not foresee what the ends of Divine wisdom might be in all this, so I was not to dispute His sovereignty; who, as I was His creature, had an undoubted right, by creation, to govern and dispose of me absolutely as He thought fit; and who, as I was a creature that had offended Him, had likewise a judicial right to condemn me to what punishment He thought fit; and that it was my part to submit to bear His indignation, because I had sinned against Him.",2.3,3,0,2,-0.014253393665158836,-0.5384615384615384,-0.14479638009049775,0.06787330316742081,-0.15740950226244357,-1.2227299192089802,-1.8783980264939835,-0.9678827329199948,-1.3422841444922702
1210,1211,"I then reflected, that as God, who was not only righteous but omnipotent, had thought fit thus to punish and afflict me, so He was able to deliver me: that if He did not think fit to do so, it was my unquestioned duty to resign myself absolutely and entirely to His will; and, on the other hand, it was my duty also to hope in Him, pray to Him, and quietly to attend to the dictates and directions of His daily providence.",0.1,0,2,2,-0.014253393665158836,-0.5384615384615384,-0.14479638009049775,0.06787330316742081,-0.15740950226244357,-1.2227299192089802,-1.8783980264939835,-0.9678827329199948,-1.3422841444922702
1211,1212,"These thoughts took me up many hours, days, nay, I may say weeks and months: and one particular effect of my cogitations on this occasion I cannot omit.",-0.25,-1,0,-2,-0.018099547511312684,-0.5565610859728507,-0.17647058823529413,0.07692307692307693,-0.16855203619909515,-1.2374128276954295,-1.9374896637312606,-1.025620140376196,-1.3155429842508346
1212,1213,"One morning early, lying in my bed, and filled with thoughts about my danger from the appearances of savages, I found it discomposed me very much; upon which these words of the Scripture came into my thoughts, âCall upon Me in the day of trouble, and I will deliver thee, and thou shalt glorify Me.â Upon this, rising cheerfully out of my bed, my heart was not only comforted, but I was guided and encouraged to pray earnestly to God for deliverance: when I had done praying I took up my Bible, and opening it to read, the first words that presented to me were, âWait on the Lord, and be of good cheer, and He shall strengthen thy heart; wait, I say, on the Lord.â It is impossible to express the comfort this gave me.",3.25,0,12,6,-0.01538461538461585,-0.5610859728506787,-0.1583710407239819,0.08144796380090498,-0.16334841628959287,-1.2270484217049946,-1.9522625730405798,-0.9926273361155095,-1.3021724041301168
1213,1214,"In answer, I thankfully laid down the book, and was no more sad, at least on that occasion.",-0.5,-1,-3,0,-0.01538461538461585,-0.5610859728506787,-0.1583710407239819,0.08597285067873303,-0.16221719457013586,-1.2270484217049946,-1.9522625730405798,-0.9926273361155095,-1.2888018240093988
1214,1215,"In the middle of these cogitations, apprehensions, and reflections, it came into my thoughts one day that all this might be a mere chimera of my own, and that this foot might be the print of my own foot, when I came on shore from my boat: this cheered me up a little, too, and I began to persuade myself it was all a delusion; that it was nothing else but my own foot; and why might I not come that way from the boat, as well as I was going that way to the boat?",0.1,-1,2,-1,-0.010859728506787797,-0.5610859728506787,-0.17194570135746606,0.09502262443438914,-0.16221719457013586,-1.2097744117209368,-1.9522625730405798,-1.0173719393110243,-1.2620606637679634
1215,1216,"Again, I considered also that I could by no means tell for certain where I had trod, and where I had not; and that if, at last, this was only the print of my own foot, I had played the part of those fools who try to make stories of spectres and apparitions, and then are frightened at them more than anybody.",-0.45,0,-4,-1,-0.01289592760181042,-0.5656108597285068,-0.17194570135746606,0.09954751131221719,-0.16272624434389152,-1.217547716213763,-1.9670354823498988,-1.0173719393110243,-1.2486900836472457
1216,1217,"Now I began to take courage, and to peep abroad again, for I had not stirred out of my castle for three days and nights, so that I began to starve for provisions; for I had little or nothing within doors but some barley-cakes and water; then I knew that my goats wanted to be milked too, which usually was my evening diversion: and the poor creatures were in great pain and inconvenience for want of it; and, indeed, it almost spoiled some of them, and almost dried up their milk.",-1.85,-3,-4,1,-0.007692307692308159,-0.5610859728506787,-0.17194570135746606,0.09954751131221719,-0.16029411764705895,-1.1976826047320963,-1.9522625730405798,-1.0173719393110243,-1.2486900836472457
1217,1218,"Encouraging myself, therefore, with the belief that this was nothing but the print of one of my own feet, and that I might be truly said to start at my own shadow, I began to go abroad again, and went to my country house to milk my flock: but to see with what fear I went forward, how often I looked behind me, how I was ready every now and then to lay down my basket and run for my life, it would have made any one have thought I was haunted with an evil conscience, or that I had been lately most terribly frightened; and so, indeed, I had.",-0.85,-1,-10,-2,0.003167420814479171,-0.5520361990950227,-0.14027149321266968,0.11764705882352941,-0.14287330316742092,-1.1562249807703573,-1.9227167544219415,-0.9596345318548231,-1.1952077631643743
1218,1219,"However, I went down thus two or three days, and having seen nothing, I began to be a little bolder, and to think there was really nothing in it but my own imagination; but I could not persuade myself fully of this till I should go down to the shore again, and see this print of a foot, and measure it by my own, and see if there was any similitude or fitness, that I might be assured it was my own foot: but when I came to the place, first, it appeared evidently to me, that when I laid up my boat I could not possibly be on shore anywhere thereabouts; secondly, when I came to measure the mark with my own foot, I found my foot not so large by a great deal.",3.15,1,4,4,-0.023755656108597752,-0.5882352941176471,-0.18099547511312217,0.09502262443438914,-0.17449095022624447,-1.259005340175502,-2.040900028896495,-1.0338683414413674,-1.2620606637679634
1219,1220,"Both these things filled my head with new imaginations, and gave me the vapours again to the highest degree, so that I shook with cold like one in an ague; and I went home again, filled with the belief that some man or men had been on shore there; or, in short, that the island was inhabited, and I might be surprised before I was aware; and what course to take for my security I knew not.",0.8,0,2,0,-0.030769230769231236,-0.5927601809954751,-0.19457013574660634,0.08597285067873303,-0.1830316742081449,-1.2857800556507917,-2.0556729382058143,-1.0586129446368822,-1.2888018240093988
1220,1221,"Oh, what ridiculous resolutions men take when possessed with fear!",-2.1,-2,-5,-3,-0.0443438914027154,-0.6018099547511312,-0.19909502262443438,0.08597285067873303,-0.18981900452488698,-1.3376020856029653,-2.0852187568244527,-1.0668611457020538,-1.2888018240093988
1221,1222,It deprives them of the use of those means which reason offers for their relief.,1.1,1,0,2,-0.04140271493212717,-0.583710407239819,-0.2081447963800905,0.1085972850678733,-0.18116515837104086,-1.3263739791133278,-2.026127119587176,-1.0833575478323971,-1.22194892340581
1222,1223,"The first thing I proposed to myself was, to throw down my enclosures, and turn all my tame cattle wild into the woods, lest the enemy should find them, and then frequent the island in prospect of the same or the like booty: then the simple thing of digging up my two corn-fields, lest they should find such a grain there, and still be prompted to frequent the island: then to demolish my bower and tent, that they might not see any vestiges of habitation, and be prompted to look farther, in order to find out the persons inhabiting.",-1.15,-3,1,-2,-0.061085972850679196,-0.6153846153846154,-0.22624434389140272,0.09049773755656108,-0.20305429864253405,-1.4015159225439795,-2.1295374847524102,-1.1163503520930833,-1.2754312438886812
1223,1224,"These were the subject of the first nightâs cogitations after I was come home again, while the apprehensions which had so overrun my mind were fresh upon me, and my head was full of vapours.",-1.0,-1,1,0,-0.05429864253393712,-0.6153846153846154,-0.2081447963800905,0.09049773755656108,-0.1968325791855205,-1.3756049075678929,-2.1295374847524102,-1.0833575478323971,-1.2754312438886812
1224,1225,"Thus, fear of danger is ten thousand times more terrifying than danger itself, when apparent to the eyes; and we find the burden of anxiety greater, by much, than the evil which we are anxious about: and what was worse than all this, I had not that relief in this trouble that from the resignation I used to practise I hoped to have.",-6.5,-8,-15,-4,-0.04027149321267015,-0.6063348416289592,-0.19457013574660634,0.1085972850678733,-0.18314479638009057,-1.3220554766173132,-2.099991666133772,-1.0586129446368822,-1.22194892340581
1225,1226,"I looked, I thought, like Saul, who complained not only that the Philistines were upon him, but that God had forsaken him; for I did not now take due ways to compose my mind, by crying to God in my distress, and resting upon His providence, as I had done before, for my defence and deliverance; which, if I had done, I had at least been more cheerfully supported under this new surprise, and perhaps carried through it with more resolution.",2.15,0,3,1,-0.03687782805429911,-0.5972850678733032,-0.19457013574660634,0.1085972850678733,-0.1800339366515838,-1.30909996912927,-2.0704458475151335,-1.0586129446368822,-1.22194892340581
1226,1227,"This confusion of my thoughts kept me awake all night; but in the morning I fell asleep; and having, by the amusement of my mind, been as it were tired, and my spirits exhausted, I slept very soundly, and waked much better composed than I had ever been before.",0.1,-2,1,-1,-0.04027149321267015,-0.5882352941176471,-0.17647058823529413,0.10407239819004525,-0.17522624434389153,-1.3220554766173132,-2.040900028896495,-1.025620140376196,-1.2353195035265279
1227,1228,"And now I began to think sedately; and, upon debate with myself, I concluded that this island (which was so exceedingly pleasant, fruitful, and no farther from the mainland than as I had seen) was not so entirely abandoned as I might imagine; that although there were no stated inhabitants who lived on the spot, yet that there might sometimes come boats off from the shore, who, either with design, or perhaps never but when they were driven by cross winds, might come to this place; that I had lived there fifteen years now and had not met with the least shadow or figure of any people yet; and that, if at any time they should be driven here, it was probable they went away again as soon as ever they could, seeing they had never thought fit to fix here upon any occasion; that the most I could suggest any danger from was from any casual accidental landing of straggling people from the main, who, as it was likely, if they were driven hither, were here against their wills, so they made no stay here, but went off again with all possible speed; seldom staying one night on shore, lest they should not have the help of the tides and daylight back again; and that, therefore, I had nothing to do but to consider of some safe retreat, in case I should see any savages land upon the spot.",-0.35,0,-1,1,-0.05927601809954798,-0.5882352941176471,-0.22171945701357465,0.09502262443438914,-0.19355203619909514,-1.3946063185503565,-2.040900028896495,-1.1081021510279117,-1.2620606637679634
1228,1229,"Now, I began sorely to repent that I had dug my cave so large as to bring a door through again, which door, as I said, came out beyond where my fortification joined to the rock: upon maturely considering this, therefore, I resolved to draw me a second fortification, in the manner of a semicircle, at a distance from my wall, just where I had planted a double row of trees about twelve years before, of which I made mention: these trees having been planted so thick before, they wanted but few piles to be driven between them, that they might be thicker and stronger, and my wall would be soon finished.",1.8,-1,4,0,-0.05791855203619956,-0.579185520361991,-0.22624434389140272,0.09502262443438914,-0.19208144796380103,-1.389424115555139,-2.0113542102778568,-1.1163503520930833,-1.2620606637679634
1229,1230,"So that I had now a double wall; and my outer wall was thickened with pieces of timber, old cables, and everything I could think of, to make it strong; having in it seven little holes, about as big as I might put my arm out at.",0.75,1,3,0,-0.040045248868778756,-0.5701357466063348,-0.22624434389140272,0.10407239819004525,-0.18308823529411777,-1.3211917761181105,-1.981808391659218,-1.1163503520930833,-1.2353195035265279
1230,1231,"In the inside of this I thickened my wall to about ten feet thick with continually bringing earth out of my cave, and laying it at the foot of the wall, and walking upon it; and through the seven holes I contrived to plant the muskets, of which I took notice that I had got seven on shore out of the ship; these I planted like my cannon, and fitted them into frames, that held them like a carriage, so that I could fire all the seven guns in two minutesâ time; this wall I was many a weary month in finishing, and yet never thought myself safe till it was done.",0.0,-1,-1,-1,-0.0359728506787335,-0.5610859728506787,-0.22171945701357465,0.10407239819004525,-0.1786764705882354,-1.3056451671324583,-1.9522625730405798,-1.1081021510279117,-1.2353195035265279
1231,1232,"When this was done I stuck all the ground without my wall, for a great length every way, as full with stakes or sticks of the osier-like wood, which I found so apt to grow, as they could well stand; insomuch that I believe I might set in near twenty thousand of them, leaving a pretty large space between them and my wall, that I might have room to see an enemy, and they might have no shelter from the young trees, if they attempted to approach my outer wall.",3.5,2,1,6,-0.03416289592760228,-0.5565610859728507,-0.2081447963800905,0.10407239819004525,-0.17369909502262457,-1.298735563138835,-1.9374896637312606,-1.0833575478323971,-1.2353195035265279
1232,1233,"Thus in two yearsâ time I had a thick grove; and in five or six yearsâ time I had a wood before my dwelling, growing so monstrously thick and strong that it was indeed perfectly impassable: and no men, of what kind soever, could ever imagine that there was anything beyond it, much less a habitation.",0.7,1,7,0,-0.03190045248868825,-0.5520361990950227,-0.21266968325791855,0.10407239819004525,-0.17313348416289606,-1.290098558146806,-1.9227167544219415,-1.0916057488975686,-1.2353195035265279
1233,1234,"As for the way which I proposed to myself to go in and out (for I left no avenue), it was by setting two ladders, one to a part of the rock which was low, and then broke in, and left room to place another ladder upon that; so when the two ladders were taken down no man living could come down to me without doing himself mischief; and if they had come down, they were still on the outside of my outer wall.",-1.5,-2,-3,-1,-0.030542986425339834,-0.5475113122171946,-0.18552036199095023,0.11312217194570136,-0.16261312217194582,-1.2849163551515888,-1.9079438451126223,-1.042116542506539,-1.2085783432850923
1234,1235,Thus I took all the measures human prudence could suggest for my own preservation; and it will be seen at length that they were not altogether without just reason; though I foresaw nothing at that time more than my mere fear suggested to me.,0.35,0,0,1,-0.03846153846153893,-0.5520361990950227,-0.19909502262443438,0.09502262443438914,-0.1736425339366517,-1.3151458726236902,-1.9227167544219415,-1.0668611457020538,-1.2620606637679634
1235,1236,"CHAPTER XII. A CAVE RETREAT   While this was doing, I was not altogether careless of my other affairs; for I had a great concern upon me for my little herd of goats: they were not only a ready supply to me on every occasion, and began to be sufficient for me, without the expense of powder and shot, but also without the fatigue of hunting after the wild ones; and I was loath to lose the advantage of them, and to have them all to nurse up over again.",-1.7,-4,0,-3,-0.04683257918552083,-0.5565610859728507,-0.19909502262443438,0.09049773755656108,-0.1779977375565612,-1.347102791094197,-1.9374896637312606,-1.0668611457020538,-1.2754312438886812
1236,1237,"For this purpose, after long consideration, I could think of but two ways to preserve them: one was, to find another convenient place to dig a cave underground, and to drive them into it every night; and the other was to enclose two or three little bits of land, remote from one another, and as much concealed as I could, where I might keep about half-a-dozen young goats in each place; so that if any disaster happened to the flock in general, I might be able to raise them again with little trouble and time: and this though it would require a good deal of time and labour, I thought was the most rational design.",1.7,0,-1,6,-0.05882352941176517,-0.5656108597285068,-0.22624434389140272,0.07692307692307693,-0.1934389140271494,-1.3928789175519507,-1.9670354823498988,-1.1163503520930833,-1.3155429842508346
1237,1238,"Accordingly, I spent some time to find out the most retired parts of the island; and I pitched upon one, which was as private, indeed, as my heart could wish: it was a little damp piece of ground in the middle of the hollow and thick woods, where, as is observed, I almost lost myself once before, endeavouring to come back that way from the eastern part of the island.",-0.45,-2,-3,-3,-0.06447963800905024,-0.5746606334841629,-0.25339366515837103,0.07239819004524888,-0.20503393665158381,-1.414471430032023,-1.9965813009685371,-1.1658395584841128,-1.3289135643715524
1238,1239,"Here I found a clear piece of land, near three acres, so surrounded with woods that it was almost an enclosure by nature; at least, it did not want near so much labour to make it so as the other piece of ground I had worked so hard at.",1.1,1,1,2,-0.07805429864253441,-0.6063348416289592,-0.29411764705882354,0.07692307692307693,-0.2253959276018101,-1.466293459984197,-2.099991666133772,-1.2400733680706573,-1.3155429842508346
1239,1240,"I immediately went to work with this piece of ground; and in less than a monthâs time I had so fenced it round that my flock, or herd, call it which you please, which were not so wild now as at first they might be supposed to be, were well enough secured in it: so, without any further delay, I removed ten young she-goats and two he-goats to this piece, and when they were there I continued to perfect the fence till I had made it as secure as the other; which, however, I did at more leisure, and it took me up more time by a great deal.",4.8,4,10,2,-0.08778280542986472,-0.6018099547511312,-0.33031674208144796,0.06334841628959276,-0.23914027149321276,-1.5034325814499214,-2.0852187568244527,-1.3060589765920299,-1.355654724612988
1240,1241,"All this labour I was at the expense of, purely from my apprehensions on account of the print of a manâs foot; for as yet I had never seen any human creature come near the island; and I had now lived two years under this uneasiness, which, indeed, made my life much less comfortable than it was before, as may be well imagined by any who know what it is to live in the constant snare of the fear of man.",-1.6,-2,0,-2,-0.10113122171945747,-0.6244343891402715,-0.3167420814479638,0.01809954751131222,-0.2560520361990951,-1.5543909109028922,-2.1590833033710486,-1.281314373396515,-1.4893605258201656
1241,1242,"And this I must observe, with grief, too, that the discomposure of my mind had great impression also upon the religious part of my thoughts; for the dread and terror of falling into the hands of savages and cannibals lay so upon my spirits, that I seldom found myself in a due temper for application to my Maker; at least, not with the sedate calmness and resignation of soul which I was wont to do: I rather prayed to God as under great affliction and pressure of mind, surrounded with danger, and in expectation every night of being murdered and devoured before morning; and I must testify, from my experience, that a temper of peace, thankfulness, love, and affection, is much the more proper frame for prayer than that of terror and discomposure: and that under the dread of mischief impending, a man is no more fit for a comforting performance of the duty of praying to God than he is for a repentance on a sick-bed; for these discomposures affect the mind, as the others do the body; and the discomposure of the mind must necessarily be as great a disability as that of the body, and much greater; praying to God being properly an act of the mind, not of the body.",-2.2,-4,2,-1,-0.11040723981900498,-0.6244343891402715,-0.3167420814479638,0.00904977375565611,-0.26063348416289606,-1.5898026313702107,-2.1590833033710486,-1.281314373396515,-1.5161016860616015
1242,1243,But to go on.,0.0,0,0,0,-0.10995475113122218,-0.6334841628959276,-0.3257918552036199,0.027149321266968326,-0.26052036199095036,-1.588075230371805,-2.188629121989687,-1.2978107755268582,-1.4626193655787303
1243,1244,"After I had thus secured one part of my little living stock, I went about the whole island, searching for another private place to make such another deposit; when, wandering more to the west point of the island than I had ever done yet, and looking out to sea, I thought I saw a boat upon the sea, at a great distance.",1.3,1,5,1,-0.11651583710407284,-0.6380090497737556,-0.334841628959276,0.03167420814479638,-0.264423076923077,-1.613122544848689,-2.203402031299006,-1.3143071776572013,-1.4492487854580125
1244,1245,"I had found a perspective glass or two in one of the seamenâs chests, which I saved out of our ship, but I had it not about me; and this was so remote that I could not tell what to make of it, though I looked at it till my eyes were not able to hold to look any longer; whether it was a boat or not I do not know, but as I descended from the hill I could see no more of it, so I gave it over; only I resolved to go no more out without a perspective glass in my pocket.",2.0,0,3,1,-0.12669683257918596,-0.6515837104072398,-0.334841628959276,0.013574660633484163,-0.27488687782805443,-1.6519890673128192,-2.247720759226964,-1.3143071776572013,-1.5027311059408837
1245,1246,"When I was come down the hill to the end of the island, where, indeed, I had never been before, I was presently convinced that the seeing the print of a manâs foot was not such a strange thing in the island as I imagined: and but that it was a special providence that I was cast upon the side of the island where the savages never came, I should easily have known that nothing was more frequent than for the canoes from the main, when they happened to be a little too far out at sea, to shoot over to that side of the island for harbour: likewise, as they often met and fought in their canoes, the victors, having taken any prisoners, would bring them over to this shore, where, according to their dreadful customs, being all cannibals, they would kill and eat them; of which hereafter.",-1.3,-3,-6,1,-0.14276018099547558,-0.665158371040724,-0.3438914027149321,0.0,-0.2879524886877829,-1.713311802756225,-2.2920394871549217,-1.3308035797875446,-1.542842846303037
1246,1247,"When I was come down the hill to the shore, as I said above, being the SW. point of the island, I was perfectly confounded and amazed; nor is it possible for me to express the horror of my mind at seeing the shore spread with skulls, hands, feet, and other bones of human bodies; and particularly I observed a place where there had been a fire made, and a circle dug in the earth, like a cockpit, where I supposed the savage wretches had sat down to their human feastings upon the bodies of their fellow-creatures.",-1.15,1,5,-2,-0.14230769230769275,-0.6606334841628959,-0.33031674208144796,-0.004524886877828055,-0.28444570135746616,-1.711584401757819,-2.2772665778456025,-1.3060589765920299,-1.5562134264237548
1247,1248,"I was so astonished with the sight of these things, that I entertained no notions of any danger to myself from it for a long while: all my apprehensions were buried in the thoughts of such a pitch of inhuman, hellish brutality, and the horror of the degeneracy of human nature, which, though I had heard of it often, yet I never had so near a view of before; in short, I turned away my face from the horrid spectacle; my stomach grew sick, and I was just at the point of fainting, when nature discharged the disorder from my stomach; and having vomited with uncommon violence, I was a little relieved, but could not bear to stay in the place a moment; so I got up the hill again with all the speed I could, and walked on towards my own habitation.",-7.7,-7,-16,-11,-0.14208144796380134,-0.6606334841628959,-0.3393665158371041,-0.004524886877828055,-0.28665158371040733,-1.710720701258616,-2.2772665778456025,-1.3225553787223732,-1.5562134264237548
1248,1249,"When I came a little out of that part of the island I stood still awhile, as amazed, and then, recovering myself, I looked up with the utmost affection of my soul, and, with a flood of tears in my eyes, gave God thanks, that had cast my first lot in a part of the world where I was distinguished from such dreadful creatures as these; and that, though I had esteemed my present condition very miserable, had yet given me so many comforts in it that I had still more to give thanks for than to complain of: and this, above all, that I had, even in this miserable condition, been comforted with the knowledge of Himself, and the hope of His blessing: which was a felicity more than sufficiently equivalent to all the misery which I had suffered, or could suffer.",2.7,0,3,2,-0.1545248868778285,-0.6742081447963801,-0.3755656108597285,-0.013574660633484163,-0.30446832579185534,-1.7582242287147754,-2.32158530577356,-1.3885409872437458,-1.5829545866651902
1249,1250,"In this frame of thankfulness I went home to my castle, and began to be much easier now, as to the safety of my circumstances, than ever I was before: for I observed that these wretches never came to this island in search of what they could get; perhaps not seeking, not wanting, or not expecting anything here; and having often, no doubt, been up the covered, woody part of it without finding anything to their purpose.",0.85,0,-1,-2,-0.15542986425339408,-0.6787330316742082,-0.38009049773755654,-0.01809954751131222,-0.3080882352941178,-1.761679030711587,-2.336358215082879,-1.3967891883089174,-1.5963251667859082
1250,1251,"I knew I had been here now almost eighteen years, and never saw the least footsteps of human creature there before; and I might be eighteen years more as entirely concealed as I was now, if I did not discover myself to them, which I had no manner of occasion to do; it being my only business to keep myself entirely concealed where I was, unless I found a better sort of creatures than cannibals to make myself known to.",0.65,1,1,-1,-0.15678733031674252,-0.669683257918552,-0.3574660633484163,0.0,-0.2959841628959277,-1.7668612337068044,-2.3068123964642404,-1.3555481829830596,-1.542842846303037
1251,1252,"Yet I entertained such an abhorrence of the savage wretches that I have been speaking of, and of the wretched, inhuman custom of their devouring and eating one another up, that I continued pensive and sad, and kept close within my own circle for almost two years after this: when I say my own circle, I mean by it my three plantationsâ""viz.",-2.15,-4,-5,-2,-0.16153846153846196,-0.6787330316742082,-0.37104072398190047,-0.004524886877828055,-0.3039592760180997,-1.784998944190065,-2.336358215082879,-1.3802927861785743,-1.5562134264237548
