,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
1753,1753,268,17,For it was windy (she stood a moment to look out).,for it was windy  she stood a moment to look out  ,50,11
1754,1754,268,17,"It was windy, so that the leaves now and then brushed open a star, and the stars themselves seemed to be shaking and darting light and trying to flash out between the edges of the leaves.",it was windy  so that the leaves now and then brushed open a star  and the stars themselves seemed to be shaking and darting light and trying to flash out between the edges of the leaves ,187,36
1755,1755,268,17,"Yes, that was done then, accomplished; and as with all things done, became solemn.",yes  that was done then  accomplished  and as with all things done  became solemn ,82,14
1756,1756,268,17,"Now one thought of it, cleared of chatter and emotion, it seemed always to have been, only was shown now and so being shown, struck everything into stability.",now one thought of it  cleared of chatter and emotion  it seemed always to have been  only was shown now and so being shown  struck everything into stability ,158,28
1757,1757,268,17,"They would, she thought, going on again, however long they lived, come back to this night; this moon; this wind; this house: and to her too.",they would  she thought  going on again  however long they lived  come back to this night  this moon  this wind  this house  and to her too ,140,26
1758,1758,268,17,"It flattered her, where she was most susceptible of flattery, to think how, wound about in their hearts, however long they lived she would be woven; and this, and this, and this, she thought, going upstairs, laughing, but affectionately, at the sofa on the landing (her mother's); at the rocking-chair (her father's); at the map of the Hebrides.",it flattered her  where she was most susceptible of flattery  to think how  wound about in their hearts  however long they lived she would be woven  and this  and this  and this  she thought  going upstairs  laughing  but affectionately  at the sofa on the landing  her mother own   at the rocking chair  her father own   at the map of the hebrides ,345,58
1759,1759,268,17,"All that would be revived again in the lives of Paul and Minta; ""the Rayleys"" - she tried the new name over; and she felt, with her hand on the nursery door, that community of feeling with other people which emotion gives as if the walls of partition had become so thin that practically (the feeling was one of relief and happiness) it was all one stream, and chairs, tables, maps, were hers, were theirs, it did not matter whose, and Paul and Minta would carry it on when she was dead.",all that would be revived again in the lives of paul and minta   the rayleys    she tried the new name over  and she felt  with her hand on the nursery door  that community of feeling with other people which emotion gives as if the walls of partition had become so thin that practically  the feeling was one of relief and happiness  it was all one stream  and chairs  tables  maps  were hers  were theirs  it did not matter whose  and paul and minta would carry it on when she was dead ,486,92
1760,1760,269,17,"She turned the handle, firmly, lest it should squeak, and went in, pursing her lips slightly, as if to remind herself that she must not speak aloud.",she turned the handle  firmly  lest it should squeak  and went in  pursing her lips slightly  as if to remind herself that she must not speak aloud ,148,27
1761,1761,269,17,"But directly she came in she saw, with annoyance, that the precaution was not needed.",but directly she came in she saw  with annoyance  that the precaution was not needed ,85,15
1762,1762,269,17,The children were not asleep.,the children were not asleep ,29,5
1763,1763,269,17,It was most annoying.,it was most annoying ,21,4
1764,1764,269,17,Mildred should be more careful.,mildred should be more careful ,31,5
1765,1765,269,17,"There was James wide awake and Cam sitting bolt upright, and Mildred out of bed in her bare feet, and it was almost eleven and they were all talking.",there was james wide awake and cam sitting bolt upright  and mildred out of bed in her bare feet  and it was almost eleven and they were all talking ,149,29
1766,1766,269,17,What was the matter?,what was the matter ,20,4
1767,1767,269,17,It was that horrid skull again.,it was that horrid skull again ,31,6
1768,1768,269,17,"She had told Mildred to move it, but Mildred, of course, had forgotten, and now there was Cam wide awake, and James wide awake quarreling when they ought to have been asleep hours ago.",she had told mildred to move it  but mildred  of course  had forgotten  and now there was cam wide awake  and james wide awake quarreling when they ought to have been asleep hours ago ,184,34
1769,1769,269,17,What had possessed Edward to send them this horrid skull?,what had possessed edward to send them this horrid skull ,57,10
1770,1770,269,17,She had been so foolish as to let them nail it up there.,she had been so foolish as to let them nail it up there ,56,13
1771,1771,269,17,"It was nailed fast, Mildred said, and Cam couldn't go to sleep with it in the room, and James screamed if she touched it.",it was nailed fast  mildred said  and cam could not go to sleep with it in the room  and james screamed if she touched it ,121,24
1772,1772,270,17,"Then Cam must go to sleep (it had great horns said Cam) - must go to sleep and dream of lovely palaces, said Mrs. Ramsay, sitting down on the bed by her side.",then cam must go to sleep  it had great horns said cam    must go to sleep and dream of lovely palaces  said mrs  ramsay  sitting down on the bed by her side ,158,33
1773,1773,270,17,"She could see the horns, Cam said, all over the room.",she could see the horns  cam said  all over the room ,53,11
1774,1774,270,17,It was true.,it was true ,12,3
1775,1775,270,17,Wherever they put the light (and James could not sleep without a light) there was always a shadow somewhere.,wherever they put the light  and james could not sleep without a light  there was always a shadow somewhere ,108,19
1776,1776,271,17,"""But think, Cam, it's only an old pig,"" said Mrs. Ramsay, ""a nice black pig like the pigs at the farm.""", but think  cam  it is only an old pig   said mrs  ramsay   a nice black pig like the pigs at the farm  ,103,21
1777,1777,271,17,"But Cam thought it was a horrid thing, branching at her all over the room.",but cam thought it was a horrid thing  branching at her all over the room ,74,15
1778,1778,272,17,"""Well then,"" said Mrs. Ramsay, ""we will cover it up,"" and they all watched her go to the chest of drawers, and open the little drawers quickly one after another, and not seeing anything that would do, she quickly took her own shawl off and wound it round the skull, round and round and round, and then she came back to Cam and laid her head almost flat on the pillow beside Cam's and said how lovely it looked now; how the fairies would love it; it was like a bird's nest; it was like a beautiful mountain such as she had seen abroad, with valleys and flowers and bells ringing and birds singing and little goats and antelopes and...She could see the words echoing as she spoke them rhythmically in Cam's mind, and Cam was repeating after her how it was like a mountain, a bird's nest, a garden, and there were little antelopes, and her eyes were opening and shutting, and Mrs. Ramsay went on speaking still more monotonously, and more rhythmically and more nonsensically, how she must shut her eyes and go to sleep and dream of mountains and valleys and stars falling and parrots and antelopes and gardens, and everything lovely, she said, raising her head very slowly and speaking more and more mechanically, until she sat upright and saw that Cam was asleep.", well then   said mrs  ramsay   we will cover it up   and they all watched her go to the chest of drawers  and open the little drawers quickly one after another  and not seeing anything that would do  she quickly took her own shawl off and wound it round the skull  round and round and round  and then she came back to cam and laid her head almost flat on the pillow beside cam own and said how lovely it looked now  how the fairies would love it  it was like a bird own nest  it was like a beautiful mountain such as she had seen abroad  with valleys and flowers and bells ringing and birds singing and little goats and antelopes and   she could see the words echoing as she spoke them rhythmically in cam own mind  and cam was repeating after her how it was like a mountain  a bird own nest  a garden  and there were little antelopes  and her eyes were opening and shutting  and mrs  ramsay went on speaking still more monotonously  and more rhythmically and more nonsensically  how she must shut her eyes and go to sleep and dream of mountains and valleys and stars falling and parrots and antelopes and gardens  and everything lovely  she said  raising her head very slowly and speaking more and more mechanically  until she sat upright and saw that cam was asleep ,1261,228
1779,1779,273,17,"Now, she whispered, crossing over to his bed, James must go to sleep too, for see, she said, the boar's skull was still there; they had not touched it; they had done just what he wanted; it was there quite unhurt.",now  she whispered  crossing over to his bed  james must go to sleep too  for see  she said  the boar own skull was still there  they had not touched it  they had done just what he wanted  it was there quite unhurt ,213,41
1780,1780,273,17,He made sure that the skull was still there under the shawl.,he made sure that the skull was still there under the shawl ,60,12
1781,1781,273,17,But he wanted to ask her something more.,but he wanted to ask her something more ,40,8
1782,1782,273,17,Would they go to the Lighthouse tomorrow?,would they go to the lighthouse tomorrow ,41,7
1783,1783,274,17,"No, not tomorrow, she said, but soon, she promised him; the next fine day.",no  not tomorrow  she said  but soon  she promised him  the next fine day ,74,14
1784,1784,274,17,He was very good.,he was very good ,17,4
1785,1785,274,17,He lay down.,he lay down ,12,3
1786,1786,274,17,She covered him up.,she covered him up ,19,4
1787,1787,274,17,"But he would never forget, she knew, and she felt angry with Charles Tansley, with her husband, and with herself, for she had raised his hopes.",but he would never forget  she knew  and she felt angry with charles tansley  with her husband  and with herself  for she had raised his hopes ,143,26
1788,1788,274,17,"Then feeling for her shawl and remembering that she had wrapped it round the boar's skull, she got up, and pulled the window down another inch or two, and heard the wind, and got a breath of the perfectly indifferent chill night air and murmured good night to Mildred and left the room and let the tongue of the door slowly lengthen in the lock and went out.",then feeling for her shawl and remembering that she had wrapped it round the boar own skull  she got up  and pulled the window down another inch or two  and heard the wind  and got a breath of the perfectly indifferent chill night air and murmured good night to mildred and left the room and let the tongue of the door slowly lengthen in the lock and went out ,358,68
1789,1789,275,17,"She hoped he would not bang his books on the floor above their heads, she thought, still thinking how annoying Charles Tansley was.",she hoped he would not bang his books on the floor above their heads  she thought  still thinking how annoying charles tansley was ,131,23
1790,1790,275,17,"For neither of them slept well; they were excitable children, and since he said things like that about the Lighthouse, it seemed to her likely that he would knock a pile of books over, just as they were going to sleep, clumsily sweeping them off the table with his elbow.",for neither of them slept well  they were excitable children  and since he said things like that about the lighthouse  it seemed to her likely that he would knock a pile of books over  just as they were going to sleep  clumsily sweeping them off the table with his elbow ,271,50
1791,1791,275,17,For she supposed that he had gone upstairs to work.,for she supposed that he had gone upstairs to work ,51,10
1792,1792,275,17,"Yet he looked so desolate; yet she would feel relieved when he went; yet she would see that he was better treated tomorrow; yet he was admirable with her husband; yet his manners certainly wanted improving; yet she liked his laugh - thinking this, as she came downstairs, she noticed that she could now see the moon itself through the staircase window - the yellow harvest moon - and turned, and they saw her, standing above them on the stairs.",yet he looked so desolate  yet she would feel relieved when he went  yet she would see that he was better treated tomorrow  yet he was admirable with her husband  yet his manners certainly wanted improving  yet she liked his laugh   thinking this  as she came downstairs  she noticed that she could now see the moon itself through the staircase window   the yellow harvest moon   and turned  and they saw her  standing above them on the stairs ,444,80
1793,1793,276,17,"""That's my mother,"" thought Prue.", that is my mother   thought prue ,33,5
1794,1794,276,17,Yes; Minta should look at her; Paul Rayley should look at her.,yes  minta should look at her  paul rayley should look at her ,62,12
1795,1795,276,17,"That is the thing itself, she felt, as if there were only one person like that in the world; her mother.",that is the thing itself  she felt  as if there were only one person like that in the world  her mother ,104,21
1796,1796,276,17,"And, from having been quite grown up, a moment before, talking with the others, she became a child again, and what they had been doing was a game, and would her mother sanction their game, or condemn it, she wondered.",and  from having been quite grown up  a moment before  talking with the others  she became a child again  and what they had been doing was a game  and would her mother sanction their game  or condemn it  she wondered ,217,40
1797,1797,276,17,"And thinking what a chance it was for Minta and Paul and Lily to see her, and feeling what an extraordinary stroke of fortune it was for her, to have her, and how she would never grow up and never leave home, she said, like a child, ""We thought of going down to the beach to watch the waves.""",and thinking what a chance it was for minta and paul and lily to see her  and feeling what an extraordinary stroke of fortune it was for her  to have her  and how she would never grow up and never leave home  she said  like a child   we thought of going down to the beach to watch the waves  ,292,59
1798,1798,277,17,"Instantly, for no reason at all, Mrs. Ramsay became like a girl of twenty, full of gaiety.",instantly  for no reason at all  mrs  ramsay became like a girl of twenty  full of gaiety ,90,17
1799,1799,277,17,A mood of revelry suddenly took possession of her.,a mood of revelry suddenly took possession of her ,50,9
1800,1800,277,17,"Of course they must go; of course they must go, she cried, laughing; and running down the last three or four steps quickly, she began turning from one to the other and laughing and drawing Minta's wrap round her and saying she only wished she could come too, and would they be very late, and had any of them got a watch?",of course they must go  of course they must go  she cried  laughing  and running down the last three or four steps quickly  she began turning from one to the other and laughing and drawing minta own wrap round her and saying she only wished she could come too  and would they be very late  and had any of them got a watch ,320,62
1801,1801,278,17,"""Yes, Paul has,"" said Minta.", yes  paul has   said minta ,28,5
1802,1802,278,17,Paul slipped a beautiful gold watch out of a little wash-leather case to show her.,paul slipped a beautiful gold watch out of a little wash leather case to show her ,82,15
1803,1803,278,17,"And as he held it in the palm of his hand before her, he felt, ""She knows all about it. I need not say anything.""",and as he held it in the palm of his hand before her  he felt   she knows all about it  i need not say anything  ,113,25
1804,1804,278,17,"He was saying to her as he showed her the watch, ""I've done it, Mrs. Ramsay. I owe it all to you.""",he was saying to her as he showed her the watch   I have done it  mrs  ramsay  i owe it all to you  ,98,22
1805,1805,278,17,"And seeing the gold watch lying in his hand, Mrs. Ramsay felt, How extraordinarily lucky Minta is!",and seeing the gold watch lying in his hand  mrs  ramsay felt  how extraordinarily lucky minta is ,98,17
1806,1806,278,17,She is marrying a man who has a gold watch in a wash- leather bag!,she is marrying a man who has a gold watch in a wash  leather bag ,66,15
1807,1807,279,17,"""How I wish I could come with you!"" she cried.", how i wish i could come with you   she cried ,46,10
1808,1808,279,17,But she was withheld by something so strong that she never even thought of asking herself what it was.,but she was withheld by something so strong that she never even thought of asking herself what it was ,102,19
1809,1809,279,17,Of course it was impossible for her to go with them.,of course it was impossible for her to go with them ,52,11
1810,1810,279,17,"But she would have liked to go, had it not been for the other thing, and tickled by the absurdity of her thought (how lucky to marry a man with a wash-leather bag for his watch) she went with a smile on her lips into the other room, where her husband sat reading.",but she would have liked to go  had it not been for the other thing  and tickled by the absurdity of her thought  how lucky to marry a man with a wash leather bag for his watch  she went with a smile on her lips into the other room  where her husband sat reading ,263,53
1811,1811,280,18,"Of course, she said to herself, coming into the room, she had to come here to get something she wanted.",of course  she said to herself  coming into the room  she had to come here to get something she wanted ,103,20
1812,1812,280,18,First she wanted to sit down in a particular chair under a particular lamp.,first she wanted to sit down in a particular chair under a particular lamp ,75,14
1813,1813,280,18,"But she wanted something more, though she did not know, could not think what it was that she wanted.",but she wanted something more  though she did not know  could not think what it was that she wanted ,100,19
1814,1814,280,18,"She looked at her husband (taking up her stocking and beginning to knit), and saw that he did not want to be interrupted - that was clear.",she looked at her husband  taking up her stocking and beginning to knit   and saw that he did not want to be interrupted   that was clear ,138,27
1815,1815,280,18,He was reading something that moved him very much.,he was reading something that moved him very much ,50,9
1816,1816,280,18,He was half smiling and then she knew he was controlling his emotion.,he was half smiling and then she knew he was controlling his emotion ,69,13
1817,1817,280,18,He was tossing the pages over.,he was tossing the pages over ,30,6
1818,1818,280,18,He was acting it - perhaps he was thinking himself the person in the book.,he was acting it   perhaps he was thinking himself the person in the book ,74,15
1819,1819,280,18,She wondered what book it was.,she wondered what book it was ,30,6
1820,1820,280,18,"Oh, it was one of old Sir Walter's she saw, adjusting the shade of her lamp so that the light fell on her knitting.",oh  it was one of old sir walter own she saw  adjusting the shade of her lamp so that the light fell on her knitting ,115,24
1821,1821,280,18,"For Charles Tansley had been saying (she looked up as if she expected to hear the crash of books on the floor above), had been saying that people don't read Scott any more.",for charles tansley had been saying  she looked up as if she expected to hear the crash of books on the floor above   had been saying that people do not read scott any more ,172,33
1822,1822,280,18,"Then her husband thought, ""That's what they'll say of me;"" so he went and got one of those books.",then her husband thought   that is what they will say of me   so he went and got one of those books ,97,19
1823,1823,280,18,"And if he came to the conclusion ""That's true"" what Charles Tansley said, he would accept it about Scott.",and if he came to the conclusion  that is true  what charles tansley said  he would accept it about scott ,105,19
1824,1824,280,18,"(She could see that he was weighing, considering, putting this with that as he read.)", she could see that he was weighing  considering  putting this with that as he read  ,85,15
1825,1825,280,18,But not about himself.,but not about himself ,22,4
1826,1826,280,18,He was always uneasy about himself.,he was always uneasy about himself ,35,6
1827,1827,280,18,That troubled her.,that troubled her ,18,3
1828,1828,280,18,"He would always be worrying about his own books - will they be read, are they good, why aren't they better, what do people think of me?",he would always be worrying about his own books   will they be read  are they good  why are not they better  what do people think of me ,135,27
1829,1829,280,18,"Not liking to think of him so, and wondering if they had guessed at dinner why he suddenly became irritable when they talked about fame and books lasting, wondering if the children were laughing at that, she twitched the stockings out, and all the fine gravings came drawn with steel instruments about her lips and forehead, and she grew still like a tree which has been tossing and quivering and now, when the breeze falls, settles, leaf by leaf, into quiet.",not liking to think of him so  and wondering if they had guessed at dinner why he suddenly became irritable when they talked about fame and books lasting  wondering if the children were laughing at that  she twitched the stockings out  and all the fine gravings came drawn with steel instruments about her lips and forehead  and she grew still like a tree which has been tossing and quivering and now  when the breeze falls  settles  leaf by leaf  into quiet ,459,81
1830,1830,281,18,"It didn't matter, any of it, she thought.",it did not matter  any of it  she thought ,41,8
1831,1831,281,18,"A great man, a great book, fame - who could tell?",a great man  a great book  fame   who could tell ,49,11
1832,1832,281,18,She knew nothing about it.,she knew nothing about it ,26,5
1833,1833,281,18,"But it was his way with him, his truthfulness - for instance at dinner she had been thinking quite instinctively, If only he would speak!",but it was his way with him  his truthfulness   for instance at dinner she had been thinking quite instinctively  if only he would speak ,137,25
1834,1834,281,18,She had complete trust in him.,she had complete trust in him ,30,6
1835,1835,281,18,"And dismissing all this, as one passes in diving now a weed, now a straw, now a bubble, she felt again, sinking deeper, as she had felt in the hall when the others were talking, There is something I want - something I have come to get, and she fell deeper and deeper without knowing quite what it was, with her eyes closed.",and dismissing all this  as one passes in diving now a weed  now a straw  now a bubble  she felt again  sinking deeper  as she had felt in the hall when the others were talking  there is something i want   something i have come to get  and she fell deeper and deeper without knowing quite what it was  with her eyes closed ,323,63
1836,1836,281,18,"And she waited a little, knitting, wondering, and slowly rose those words they had said at dinner, ""the China rose is all abloom and buzzing with the honey bee,"" began washing from side to side of her mind rhythmically, and as they washed, words, like little shaded lights, one red, one blue, one yellow, lit up in the dark of her mind, and seemed leaving their perches up there to fly across and across, or to cry out and to be echoed; so she turned and felt on the table beside her for a book.",and she waited a little  knitting  wondering  and slowly rose those words they had said at dinner   the china rose is all abloom and buzzing with the honey bee   began washing from side to side of her mind rhythmically  and as they washed  words  like little shaded lights  one red  one blue  one yellow  lit up in the dark of her mind  and seemed leaving their perches up there to fly across and across  or to cry out and to be echoed  so she turned and felt on the table beside her for a book ,495,95
1837,1837,282,18,"And all the lives we ever lived And all the lives to be, Are full of trees and changing leaves,",and all the lives we ever lived and all the lives to be  are full of trees and changing leaves ,95,20
1838,1838,283,18,"she murmured, sticking her needles into the stocking.",she murmured  sticking her needles into the stocking ,53,8
1839,1839,283,18,"And she opened the book and began reading here and there at random, and as she did so, she felt that she was climbing backwards, upwards, shoving her way up under petals that curved over her, so that she only knew this is white, or this is red.",and she opened the book and began reading here and there at random  and as she did so  she felt that she was climbing backwards  upwards  shoving her way up under petals that curved over her  so that she only knew this is white  or this is red ,244,48
1840,1840,283,18,She did not know at first what the words meant at all.,she did not know at first what the words meant at all ,54,12
1841,1841,284,18,"Steer, hither steer your winged pines, all beaten Mariners",steer  hither steer your winged pines  all beaten mariners,58,9
1842,1842,285,18,"she read and turned the page, swinging herself, zigzagging this way and that, from one line to another as from one branch to another, from one red and white flower to another, until a little sound roused her - her husband slapping his thighs.",she read and turned the page  swinging herself  zigzagging this way and that  from one line to another as from one branch to another  from one red and white flower to another  until a little sound roused her   her husband slapping his thighs ,242,44
1843,1843,285,18,Their eyes met for a second; but they did not want to speak to each other.,their eyes met for a second  but they did not want to speak to each other ,74,16
1844,1844,285,18,"They had nothing to say, but something seemed, nevertheless, to go from him to her.",they had nothing to say  but something seemed  nevertheless  to go from him to her ,83,15
1845,1845,285,18,"It was the life, it was the power of it, it was the tremendous humour, she knew, that made him slap his thighs.",it was the life  it was the power of it  it was the tremendous humour  she knew  that made him slap his thighs ,111,23
1846,1846,285,18,"Don't interrupt me, he seemed to be saying, don't say anything; just sit there.",do not interrupt me  he seemed to be saying  do not say anything  just sit there ,79,14
1847,1847,285,18,And he went on reading.,and he went on reading ,23,5
1848,1848,285,18,His lips twitched.,his lips twitched ,18,3
1849,1849,285,18,It filled him.,it filled him ,14,3
1850,1850,285,18,It fortified him.,it fortified him ,17,3
1851,1851,285,18,"He clean forgot all the little rubs and digs of the evening, and how it bored him unutterably to sit still while people ate and drank interminably, and his being so irritable with his wife and so touchy and minding when they passed his books over as if they didn't exist at all.",he clean forgot all the little rubs and digs of the evening  and how it bored him unutterably to sit still while people ate and drank interminably  and his being so irritable with his wife and so touchy and minding when they passed his books over as if they did not exist at all ,278,53
1852,1852,285,18,"But now, he felt, it didn't matter a damn who reached Z (if thought ran like an alphabet from A to Z).",but now  he felt  it did not matter a damn who reached z  if thought ran like an alphabet from a to z  ,102,22
1853,1853,285,18,"Somebody would reach it - if not he, then another.",somebody would reach it   if not he  then another ,50,10
1854,1854,285,18,"This man's strength and sanity, his feeling for straight forward simple things, these fishermen, the poor old crazed creature in Mucklebackit's cottage made him feel so vigorous, so relieved of something that he felt roused and triumphant and could not choke back his tears.",this man own strength and sanity  his feeling for straight forward simple things  these fishermen  the poor old crazed creature in mucklebackit own cottage made him feel so vigorous  so relieved of something that he felt roused and triumphant and could not choke back his tears ,274,44
1855,1855,285,18,"Raising the book a little to hide his face, he let them fall and shook his head from side to side and forgot himself completely (but not one or two reflections about morality and French novels and English novels and Scott's hands being tied but his view perhaps being as true as the other view), forgot his own bothers and failures completely in poor Steenie's drowning and Mucklebackit's sorrow (that was Scott at his best) and the astonishing delight and feeling of vigour that it gave him.",raising the book a little to hide his face  he let them fall and shook his head from side to side and forgot himself completely  but not one or two reflections about morality and french novels and english novels and scott own hands being tied but his view perhaps being as true as the other view   forgot his own bothers and failures completely in poor steenie own drowning and mucklebackit own sorrow  that was scott at his best  and the astonishing delight and feeling of vigour that it gave him ,492,87
1856,1856,286,18,"Well, let them improve upon that, he thought as he finished the chapter.",well  let them improve upon that  he thought as he finished the chapter ,72,13
1857,1857,286,18,"He felt that he had been arguing with somebody, and had got the better of him.",he felt that he had been arguing with somebody  and had got the better of him ,78,16
1858,1858,286,18,"They could not improve upon that, whatever they might say; and his own position became more secure.",they could not improve upon that  whatever they might say  and his own position became more secure ,99,17
1859,1859,286,18,"The lovers were fiddlesticks, he thought, collecting it all in his mind again.",the lovers were fiddlesticks  he thought  collecting it all in his mind again ,78,13
1860,1860,286,18,"That's fiddlesticks, that's first-rate, he thought, putting one thing beside another.",that is fiddlesticks  that is first rate  he thought  putting one thing beside another ,85,11
1861,1861,286,18,But he must read it again.,but he must read it again ,26,6
1862,1862,286,18,He could not remember the whole shape of the thing.,he could not remember the whole shape of the thing ,51,10
1863,1863,286,18,He had to keep his judgement in suspense.,he had to keep his judgement in suspense ,41,8
1864,1864,286,18,"So he returned to the other thought - if young men did not care for this, naturally they did not care for him either.",so he returned to the other thought   if young men did not care for this  naturally they did not care for him either ,117,24
1865,1865,286,18,"One ought not to complain, thought Mr. Ramsay, trying to stifle his desire to complain to his wife that young men did not admire him.",one ought not to complain  thought mr  ramsay  trying to stifle his desire to complain to his wife that young men did not admire him ,133,25
1866,1866,286,18,But he was determined; he would not bother her again.,but he was determined  he would not bother her again ,53,10
1867,1867,286,18,Here he looked at her reading.,here he looked at her reading ,30,6
1868,1868,286,18,"She looked very peaceful, reading.",she looked very peaceful  reading ,34,5
1869,1869,286,18,He liked to think that every one had taken themselves off and that he and she were alone.,he liked to think that every one had taken themselves off and that he and she were alone ,89,18
1870,1870,286,18,"The whole of life did not consist in going to bed with a woman, he thought, returning to Scott and Balzac, to the English novel and the French novel.",the whole of life did not consist in going to bed with a woman  he thought  returning to scott and balzac  to the english novel and the french novel ,149,29
1871,1871,287,18,"Mrs. Ramsay raised her head and like a person in a light sleep seemed to say that if he wanted her to wake she would, she really would, but otherwise, might she go on sleeping, just a little longer, just a little longer?",mrs  ramsay raised her head and like a person in a light sleep seemed to say that if he wanted her to wake she would  she really would  but otherwise  might she go on sleeping  just a little longer  just a little longer ,220,43
1872,1872,287,18,"She was climbing up those branches, this way and that, laying hands on one flower and then another.",she was climbing up those branches  this way and that  laying hands on one flower and then another ,99,18
1873,1873,288,18,"Nor praise the deep vermilion in the rose,",nor praise the deep vermilion in the rose ,42,8
1874,1874,289,18,"she read, and so reading she was ascending, she felt, on to the top, on to the summit.",she read  and so reading she was ascending  she felt  on to the top  on to the summit ,86,18
1875,1875,289,18,How satisfying!,how satisfying ,15,2
1876,1876,289,18,How restful!,how restful ,12,2
1877,1877,289,18,"All the odds and ends of the day stuck to this magnet; her mind felt swept, felt clean.",all the odds and ends of the day stuck to this magnet  her mind felt swept  felt clean ,87,18
1878,1878,289,18,"And then there it was, suddenly entire; she held it in her hands, beautiful and reasonable, clear and complete, here - the sonnet.",and then there it was  suddenly entire  she held it in her hands  beautiful and reasonable  clear and complete  here   the sonnet ,130,23
1879,1879,290,18,But she was becoming conscious of her husband looking at her.,but she was becoming conscious of her husband looking at her ,61,11
1880,1880,290,18,"He was smiling at her, quizzically, as if he were ridiculing her gently for being asleep in broad daylight, but at the same time he was thinking, Go on reading.",he was smiling at her  quizzically  as if he were ridiculing her gently for being asleep in broad daylight  but at the same time he was thinking  go on reading ,160,30
1881,1881,290,18,"You don't look sad now, he thought.",you do not look sad now  he thought ,35,7
1882,1882,290,18,"And he wondered what she was reading, and exaggerated her ignorance, her simplicity, for he liked to think that she was not clever, not book-learned at all.",and he wondered what she was reading  and exaggerated her ignorance  her simplicity  for he liked to think that she was not clever  not book learned at all ,156,27
1883,1883,290,18,He wondered if she understood what she was reading.,he wondered if she understood what she was reading ,51,9
1884,1884,290,18,"Probably not, he thought.",probably not  he thought ,25,4
1885,1885,290,18,She was astonishingly beautiful.,she was astonishingly beautiful ,32,4
1886,1886,290,18,"Her beauty seemed to him, if that were possible, to increase",her beauty seemed to him  if that were possible  to increase,60,11
1887,1887,291,18,"Yet seem'd it winter still, and, you away,",yet seem d it winter still  and  you away ,42,8
1888,1888,292,18,"As with your shadow I with these did play, she finished.",as with your shadow i with these did play  she finished ,56,11
1889,1889,293,18,"""Well?"" she said, echoing his smile dreamily, looking up from her book.", well   she said  echoing his smile dreamily  looking up from her book ,71,12
1890,1890,294,18,"As with your shadow I with these did play,",as with your shadow i with these did play ,42,9
1891,1891,295,18,"she murmured, putting the book on the table.",she murmured  putting the book on the table ,44,8
1892,1892,296,18,"What had happened, she wondered, as she took up her knitting, since she had seen him alone?",what had happened  she wondered  as she took up her knitting  since she had seen him alone ,91,17
1893,1893,296,18,"She remembered dressing, and seeing the moon; Andrew holding his plate too high at dinner; being depressed by something William had said; the birds in the trees; the sofa on the landing; the children being awake; Charles Tansley waking them with his books falling - oh, no, that she had invented; and Paul having a wash- leather case for his watch.",she remembered dressing  and seeing the moon  andrew holding his plate too high at dinner  being depressed by something william had said  the birds in the trees  the sofa on the landing  the children being awake  charles tansley waking them with his books falling   oh  no  that she had invented  and paul having a wash  leather case for his watch ,348,61
1894,1894,296,18,Which should she tell him about?,which should she tell him about ,32,6
1895,1895,297,18,"""They're engaged,"" she said, beginning to knit, ""Paul and Minta.""", they are engaged   she said  beginning to knit   paul and minta  ,65,10
1896,1896,298,18,"""So I guessed,"" he said.", so i guessed   he said ,24,5
1897,1897,298,18,There was nothing very much to be said about it.,there was nothing very much to be said about it ,48,10
1898,1898,298,18,"Her mind was still going up and down, up and down with the poetry; he was still feeling very vigorous, very forthright, after reading about Steenie's funeral.",her mind was still going up and down  up and down with the poetry  he was still feeling very vigorous  very forthright  after reading about steenie own funeral ,158,27
1899,1899,298,18,So they sat silent.,so they sat silent ,19,4
1900,1900,298,18,Then she became aware that she wanted him to say something.,then she became aware that she wanted him to say something ,59,11
1901,1901,299,18,"Anything, anything, she thought, going on with her knitting.",anything  anything  she thought  going on with her knitting ,60,9
1902,1902,299,18,Anything will do.,anything will do ,17,3
1903,1903,300,18,"""How nice it would be to marry a man with a wash-leather bag for his watch,"" she said, for that was the sort of joke they had together.", how nice it would be to marry a man with a wash leather bag for his watch   she said  for that was the sort of joke they had together ,135,28
1904,1904,301,18,He snorted.,he snorted ,11,2
1905,1905,301,18,He felt about this engagement as he always felt about any engagement; the girl is much too good for that young man.,he felt about this engagement as he always felt about any engagement  the girl is much too good for that young man ,115,22
1906,1906,301,18,"Slowly it came into her head, why is it then that one wants people to marry?",slowly it came into her head  why is it then that one wants people to marry ,76,16
1907,1907,301,18,"What was the value, the meaning of things?",what was the value  the meaning of things ,42,8
1908,1908,301,18,(Every word they said now would be true.), every word they said now would be true  ,41,8
1909,1909,301,18,"Do say something, she thought, wishing only to hear his voice.",do say something  she thought  wishing only to hear his voice ,62,11
1910,1910,301,18,"For the shadow, the thing folding them in was beginning, she felt, to close round her again.",for the shadow  the thing folding them in was beginning  she felt  to close round her again ,92,17
1911,1911,301,18,"Say anything, she begged, looking at him, as if for help.",say anything  she begged  looking at him  as if for help ,57,11
1912,1912,302,18,"He was silent, swinging the compass on his watch-chain to and fro, and thinking of Scott's novels and Balzac's novels.",he was silent  swinging the compass on his watch chain to and fro  and thinking of scott own novels and balzac own novels ,118,20
